Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
15617.35	15617350	15618.15	15618150	0.8	800															
15705.45	15705450	15706.35	15706350	0.9	900															
15736.68	15736680	15738.69	15738690	2.01	2010															
15758.03	15758030	15758.99	15758990	0.96	960															
16115.53	16115530	16116.17	16116170	0.64	640															
16856.01	16856010	16858.82	16858820	2.81	2810															
16921.79	16921790	16922.59	16922590	0.8	800															
17014.54	17014540	17015.58	17015580	1.04	1040															
17166.45	17166450	17167.05	17167050	0.6	600															
17281.44	17281440	17282.44	17282440	1.0	1000															
17325.16	17325160	17325.76	17325760	0.6	600															
17325.76	17325760	17326.76	17326760	1.0	1000															
17387.16	17387160	17388.09	17388090	0.93	930															
17388.91	17388910	17389.71	17389710	0.8	800															
17404.83	17404830	17406.22	17406220	1.39	1390															
17414.21	17414210	17415.01	17415010	0.8	800															
17424.63	17424630	17425.23	17425230	0.6	600															
17425.23	17425230	17426.03	17426030	0.8	800															
17429.84	17429840	17430.66	17430660	0.82	820															
17432.46	17432460	17433.32	17433320	0.86	860															
17437.3	17437300	17438.17	17438170	0.87	870															
17453.23	17453230	17453.99	17453990	0.76	760															
17456.79	17456790	17457.6	17457600	0.81	810															
17472.71	17472710	17473.86	17473860	1.15	1150															
17514.04	17514040	17514.84	17514840	0.8	800															
17522.72	17522720	17523.54	17523540	0.82	820															
17532.2	17532200	17533.01	17533010	0.81	810															
17539.05	17539050	17540.68	17540680	1.63	1630															
17541.48	17541480	17542.67	17542670	1.19	1190															
17544.6	17544600	17546.63	17546630	2.03	2030															
17548.43	17548430	17549.23	17549230	0.8	800															
17551.06	17551060	17552.21	17552210	1.15	1150															
17584.04	17584040	17584.91	17584910	0.87	870															
17627.87	17627870	17628.48	17628480	0.61	610															
17662.6	17662600	17663.36	17663360	0.76	760															
17693.98	17693980	17694.82	17694820	0.84	840															
17728.14	17728140	17730.04	17730040	1.9	1900															
17755.54	17755540	17756.42	17756420	0.88	880															
17809.73	17809730	17810.72	17810720	0.99	990															
18046.04	18046040	18046.9	18046900	0.86	860															
18049.13	18049130	18050.06	18050060	0.93	930															
18052.47	18052470	18053.07	18053070	0.6	600															
18088.28	18088280	18088.9	18088900	0.62	620															
