Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*FAF	*TVN	*MAF	*CHF	*NON	*FAN	*OLN	
11929.67	11929670	11931.11	11931110	1.44	1440															
11937.19	11937190	11937.99	11937990	0.8	800															
11945.97	11945970	11946.8	11946800	0.83	830															
11946.8	11946800	11947.6	11947600	0.8	800															
11955.75	11955750	11957.04	11957040	1.29	1290															
12019.34	12019340	12020.49	12020490	1.15	1150															
12027.51	12027510	12028.5	12028500	0.99	990															
12028.5	12028500	12029.22	12029220	0.72	720															
12029.22	12029220	12030.17	12030170	0.95	950															
12045.27	12045270	12046.07	12046070	0.8	800															
12046.07	12046070	12047.07	12047070	1.0	1000															
12047.07	12047070	12047.94	12047940	0.87	870															
12067.83	12067830	12069.26	12069260	1.43	1430															
12090.68	12090680	12091.59	12091590	0.91	910															
12091.59	12091590	12092.21	12092210	0.62	620															
12113.35	12113350	12114.16	12114160	0.81	810															
12127.11	12127110	12128.82	12128820	1.71	1710															
12140.29	12140290	12141.13	12141130	0.84	840															
12142.29	12142290	12146.2	12146200	3.91	3910															
12151.48	12151480	12152.72	12152720	1.24	1240															
12153.56	12153560	12154.16	12154160	0.6	600															
12154.16	12154160	12155.04	12155040	0.88	880															
12157.04	12157040	12157.86	12157860	0.82	820															
12161.43	12161430	12162.37	12162370	0.94	940															
12166.96	12166960	12167.76	12167760	0.8	800															
12180.81	12180810	12181.67	12181670	0.86	860															
12204.22	12204220	12205.03	12205030	0.81	810															
12207.38	12207380	12208.9	12208900	1.52	1520															
12209.91	12209910	12211.52	12211520	1.61	1610															
12273.16	12273160	12274.0	12274000	0.84	840															
12292.54	12292540	12293.35	12293350	0.81	810															
12300.15	12300150	12300.95	12300950	0.8	800															
12300.95	12300950	12302.32	12302320	1.37	1370															
12321.3	12321300	12322.1	12322100	0.8	800															
12357.0	12357000	12357.91	12357910	0.91	910															
12358.75	12358750	12359.95	12359950	1.2	1200															
12404.5	12404500	12405.89	12405890	1.39	1390															
12407.08	12407080	12408.47	12408470	1.39	1390															
12420.28	12420280	12421.08	12421080	0.8	800															
12422.05	12422050	12422.85	12422850	0.8	800															
12467.37	12467370	12469.35	12469350	1.98	1980															
12509.27	12509270	12510.27	12510270	1.0	1000															
12599.63	12599630	12600.43	12600430	0.8	800															
12611.12	12611120	12612.81	12612810	1.69	1690															
12613.81	12613810	12614.61	12614610	0.8	800															
12664.85	12664850	12665.68	12665680	0.83	830															
12707.84	12707840	12708.64	12708640	0.8	800															
12721.63	12721630	12722.95	12722950	1.32	1320															
12725.24	12725240	12726.35	12726350	1.11	1110															
12727.96	12727960	12729.07	12729070	1.11	1110															
12731.35	12731350	12732.5	12732500	1.15	1150															
12733.79	12733790	12734.6	12734600	0.81	810															
12737.52	12737520	12739.28	12739280	1.76	1760															
12772.6	12772600	12773.4	12773400	0.8	800															
12779.3	12779300	12780.19	12780190	0.89	890															
12847.33	12847330	12848.19	12848190	0.86	860															
