Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*NON	*CHF	*FAN	*OLN	
26279.11	26279110	26281.22	26281220	2.11	2110															
26283.7	26283700	26284.56	26284560	0.86	860															
26285.45	26285450	26286.44	26286440	0.99	990															
26286.44	26286440	26288.1	26288100	1.66	1660															
26289.21	26289210	26291.09	26291090	1.88	1880															
26293.0	26293000	26293.8	26293800	0.8	800															
26295.14	26295140	26295.98	26295980	0.84	840															
26296.98	26296980	26297.78	26297780	0.8	800															
26298.79	26298790	26300.47	26300470	1.68	1680															
26301.46	26301460	26302.26	26302260	0.8	800															
26309.98	26309980	26311.6	26311600	1.62	1620															
26311.6	26311600	26312.44	26312440	0.84	840															
26323.28	26323280	26324.08	26324080	0.8	800															
26326.28	26326280	26327.23	26327230	0.95	950															
26329.98	26329980	26330.8	26330800	0.82	820															
26339.14	26339140	26339.94	26339940	0.8	800															
26352.02	26352020	26354.73	26354730	2.71	2710															
26356.23	26356230	26357.07	26357070	0.84	840															
26360.95	26360950	26361.77	26361770	0.82	820															
26362.37	26362370	26363.64	26363640	1.27	1270															
26367.49	26367490	26368.63	26368630	1.14	1140															
26370.04	26370040	26370.95	26370950	0.91	910															
26372.64	26372640	26373.44	26373440	0.8	800															
26376.06	26376060	26376.86	26376860	0.8	800															
26378.04	26378040	26379.73	26379730	1.69	1690															
26380.73	26380730	26381.71	26381710	0.98	980															
26382.99	26382990	26384.11	26384110	1.12	1120															
26384.95	26384950	26386.8	26386800	1.85	1850															
26389.0	26389000	26389.81	26389810	0.81	810															
26390.41	26390410	26391.31	26391310	0.9	900															
26391.97	26391970	26393.04	26393040	1.07	1070															
26393.84	26393840	26394.73	26394730	0.89	890															
26394.73	26394730	26396.02	26396020	1.29	1290															
26397.06	26397060	26398.7	26398700	1.64	1640															
26400.81	26400810	26401.95	26401950	1.14	1140															
26402.95	26402950	26403.55	26403550	0.6	600															
26406.06	26406060	26407.84	26407840	1.78	1780															
26410.84	26410840	26411.66	26411660	0.82	820															
26411.66	26411660	26412.26	26412260	0.6	600															
26412.26	26412260	26413.18	26413180	0.92	920															
26413.98	26413980	26414.79	26414790	0.81	810															
26417.59	26417590	26419.55	26419550	1.96	1960															
26426.88	26426880	26427.68	26427680	0.8	800															
26428.83	26428830	26429.75	26429750	0.92	920															
26432.21	26432210	26434.11	26434110	1.9	1900															
26453.7	26453700	26454.51	26454510	0.81	810															
26454.51	26454510	26456.11	26456110	1.6	1600															
26485.26	26485260	26486.6	26486600	1.34	1340															
