Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
14564.53	14564530	14565.13	14565130	0.6	600															
14565.13	14565130	14566.83	14566830	1.7	1700															
14566.83	14566830	14567.43	14567430	0.6	600															
14569.51	14569510	14570.32	14570320	0.81	810															
14574.52	14574520	14575.43	14575430	0.91	910															
14595.44	14595440	14596.68	14596680	1.24	1240															
14640.02	14640020	14641.77	14641770	1.75	1750															
14641.77	14641770	14642.49	14642490	0.72	720															
14642.49	14642490	14645.26	14645260	2.77	2770															
14647.93	14647930	14648.78	14648780	0.85	850															
14649.38	14649380	14650.18	14650180	0.8	800															
14659.46	14659460	14660.35	14660350	0.89	890															
14665.63	14665630	14666.89	14666890	1.26	1260															
14668.74	14668740	14669.56	14669560	0.82	820															
14672.82	14672820	14673.73	14673730	0.91	910															
14673.73	14673730	14674.4	14674400	0.67	670															
14674.4	14674400	14675.2	14675200	0.8	800															
14679.92	14679920	14680.73	14680730	0.81	810															
14829.19	14829190	14829.83	14829830	0.64	640															
15006.38	15006380	15007.22	15007220	0.84	840															
15098.75	15098750	15099.55	15099550	0.8	800															
15107.99	15107990	15109.4	15109400	1.41	1410															
15118.91	15118910	15120.02	15120020	1.11	1110															
15131.55	15131550	15133.02	15133020	1.47	1470															
15142.36	15142360	15143.16	15143160	0.8	800															
15143.76	15143760	15145.44	15145440	1.68	1680															
15147.63	15147630	15148.43	15148430	0.8	800															
15149.83	15149830	15151.33	15151330	1.5	1500															
15154.74	15154740	15155.59	15155590	0.85	850															
15157.92	15157920	15159.21	15159210	1.29	1290															
15160.22	15160220	15161.04	15161040	0.82	820															
15161.04	15161040	15162.5	15162500	1.46	1460															
15165.21	15165210	15166.02	15166020	0.81	810															
15173.77	15173770	15174.7	15174700	0.93	930															
15177.76	15177760	15178.71	15178710	0.95	950															
15179.58	15179580	15181.3	15181300	1.72	1720															
15183.73	15183730	15184.53	15184530	0.8	800															
15187.54	15187540	15188.96	15188960	1.42	1420															
15189.83	15189830	15190.64	15190640	0.81	810															
15191.51	15191510	15192.99	15192990	1.48	1480															
15193.88	15193880	15196.41	15196410	2.53	2530															
15197.91	15197910	15199.71	15199710	1.8	1800															
15200.33	15200330	15201.3	15201300	0.97	970															
15204.25	15204250	15205.05	15205050	0.8	800															
15209.94	15209940	15210.74	15210740	0.8	800															
15235.03	15235030	15236.08	15236080	1.05	1050															
15278.37	15278370	15279.18	15279180	0.81	810															
15496.77	15496770	15498.48	15498480	1.71	1710															
15498.48	15498480	15499.43	15499430	0.95	950															
18122.45	18122450	18123.05	18123050	0.6	600															
18157.7	18157700	18158.36	18158360	0.66	660															
18158.36	18158360	18159.22	18159220	0.86	860															
18338.01	18338010	18338.61	18338610	0.6	600															
18410.29	18410290	18410.89	18410890	0.6	600															
18524.99	18524990	18525.99	18525990	1.0	1000															
18775.5	18775500	18776.1	18776100	0.6	600															
21542.97	21542970	21543.89	21543890	0.92	920															
21625.76	21625760	21626.56	21626560	0.8	800															
21627.36	21627360	21628.69	21628690	1.33	1330															
21646.64	21646640	21647.65	21647650	1.01	1010															
21709.47	21709470	21710.07	21710070	0.6	600															
21760.56	21760560	21761.16	21761160	0.6	600															
21893.49	21893490	21895.37	21895370	1.88	1880															
22009.44	22009440	22010.24	22010240	0.8	800															
22042.03	22042030	22043.25	22043250	1.22	1220															
22044.73	22044730	22045.57	22045570	0.84	840															
22087.72	22087720	22088.69	22088690	0.97	970															
22094.41	22094410	22095.26	22095260	0.85	850															
22153.83	22153830	22154.83	22154830	1.0	1000															
22161.71	22161710	22162.65	22162650	0.94	940															
22219.57	22219570	22220.63	22220630	1.06	1060															
22230.59	22230590	22231.2	22231200	0.61	610															
22269.74	22269740	22270.54	22270540	0.8	800															
22271.57	22271570	22272.37	22272370	0.8	800															
22374.65	22374650	22375.49	22375490	0.84	840															
22553.56	22553560	22554.36	22554360	0.8	800															
22669.27	22669270	22670.15	22670150	0.88	880															
22704.34	22704340	22705.2	22705200	0.86	860															
22771.02	22771020	22772.02	22772020	1.0	1000															
22772.82	22772820	22773.62	22773620	0.8	800															
22781.53	22781530	22782.54	22782540	1.01	1010															
22806.52	22806520	22807.12	22807120	0.6	600															
22933.61	22933610	22934.41	22934410	0.8	800															
22959.5	22959500	22960.3	22960300	0.8	800															
22961.39	22961390	22962.23	22962230	0.84	840															
22995.71	22995710	22996.78	22996780	1.07	1070															
22999.53	22999530	23000.69	23000690	1.16	1160															
23013.2	23013200	23014.22	23014220	1.02	1020															
23014.22	23014220	23015.31	23015310	1.09	1090															
23016.59	23016590	23017.39	23017390	0.8	800															
23025.43	23025430	23026.23	23026230	0.8	800															
23032.97	23032970	23034.23	23034230	1.26	1260															
23035.03	23035030	23036.03	23036030	1.0	1000															
23036.03	23036030	23036.9	23036900	0.87	870															
23068.74	23068740	23069.7	23069700	0.96	960															
23127.06	23127060	23128.78	23128780	1.72	1720															
23140.88	23140880	23141.68	23141680	0.8	800															
23164.7	23164700	23165.5	23165500	0.8	800															
23175.82	23175820	23177.09	23177090	1.27	1270															
23187.62	23187620	23188.22	23188220	0.6	600															
23188.22	23188220	23189.16	23189160	0.94	940															
23189.16	23189160	23190.17	23190170	1.01	1010															
23190.17	23190170	23191.17	23191170	1.0	1000															
23242.97	23242970	23245.45	23245450	2.48	2480															
23246.25	23246250	23247.39	23247390	1.14	1140															
23247.39	23247390	23248.23	23248230	0.84	840															
23277.02	23277020	23279.79	23279790	2.77	2770															
23284.29	23284290	23285.43	23285430	1.14	1140															
23313.96	23313960	23314.76	23314760	0.8	800															
23372.75	23372750	23373.55	23373550	0.8	800															
23405.12	23405120	23406.11	23406110	0.99	990															
23415.42	23415420	23416.22	23416220	0.8	800															
23417.56	23417560	23418.36	23418360	0.8	800															
23439.99	23439990	23442.02	23442020	2.03	2030															
23444.8	23444800	23445.6	23445600	0.8	800															
23446.4	23446400	23447.71	23447710	1.31	1310															
23477.38	23477380	23478.38	23478380	1.0	1000															
23499.86	23499860	23503.31	23503310	3.45	3450															
23504.26	23504260	23505.06	23505060	0.8	800															
23511.77	23511770	23512.77	23512770	1.0	1000															
23586.75	23586750	23587.66	23587660	0.91	910															
23619.97	23619970	23621.02	23621020	1.05	1050															
23622.94	23622940	23623.54	23623540	0.6	600															
23674.04	23674040	23674.84	23674840	0.8	800															
23683.86	23683860	23684.46	23684460	0.6	600															
23684.46	23684460	23685.3	23685300	0.84	840															
23690.99	23690990	23692.06	23692060	1.07	1070															
23699.23	23699230	23700.28	23700280	1.05	1050															
23712.69	23712690	23714.23	23714230	1.54	1540															
23720.1	23720100	23720.71	23720710	0.61	610															
23721.86	23721860	23723.85	23723850	1.99	1990															
23728.27	23728270	23728.87	23728870	0.6	600															
23728.87	23728870	23729.98	23729980	1.11	1110															
23731.51	23731510	23732.31	23732310	0.8	800															
23733.41	23733410	23735.49	23735490	2.08	2080															
24079.62	24079620	24080.42	24080420	0.8	800															
24145.72	24145720	24146.6	24146600	0.88	880															
24169.78	24169780	24170.58	24170580	0.8	800															
24197.64	24197640	24198.5	24198500	0.86	860															
24223.34	24223340	24224.14	24224140	0.8	800															
24226.31	24226310	24227.31	24227310	1.0	1000															
24244.06	24244060	24245.11	24245110	1.05	1050															
24245.94	24245940	24247.58	24247580	1.64	1640															
24258.12	24258120	24258.92	24258920	0.8	800															
24264.65	24264650	24265.46	24265460	0.81	810															
24280.43	24280430	24281.99	24281990	1.56	1560															
24354.5	24354500	24355.71	24355710	1.21	1210															
24406.49	24406490	24407.29	24407290	0.8	800															
24409.45	24409450	24410.25	24410250	0.8	800															
24410.25	24410250	24411.25	24411250	1.0	1000															
24420.27	24420270	24421.11	24421110	0.84	840															
24450.8	24450800	24451.41	24451410	0.61	610															
24508.03	24508030	24508.83	24508830	0.8	800															
24521.19	24521190	24522.79	24522790	1.6	1600															
24643.52	24643520	24644.63	24644630	1.11	1110															
24696.89	24696890	24697.72	24697720	0.83	830															
24734.7	24734700	24738.06	24738060	3.36	3360															
24739.91	24739910	24740.71	24740710	0.8	800															
24743.95	24743950	24744.77	24744770	0.82	820															
24752.11	24752110	24752.91	24752910	0.8	800															
24756.77	24756770	24758.5	24758500	1.73	1730															
24764.13	24764130	24769.41	24769410	5.28	5280															
24770.25	24770250	24771.1	24771100	0.85	850															
24772.14	24772140	24776.39	24776390	4.25	4250															
24779.16	24779160	24782.11	24782110	2.95	2950															
24783.11	24783110	24784.51	24784510	1.4	1400															
24788.01	24788010	24791.87	24791870	3.86	3860															
24793.72	24793720	24795.07	24795070	1.35	1350															
24795.99	24795990	24796.79	24796790	0.8	800															
24797.59	24797590	24800.47	24800470	2.88	2880															
24802.61	24802610	24803.41	24803410	0.8	800															
24811.22	24811220	24813.34	24813340	2.12	2120															
24813.99	24813990	24815.46	24815460	1.47	1470															
24816.9	24816900	24817.91	24817910	1.01	1010															
24817.91	24817910	24819.03	24819030	1.12	1120															
24820.04	24820040	24820.86	24820860	0.82	820															
24821.66	24821660	24823.61	24823610	1.95	1950															
24824.42	24824420	24825.99	24825990	1.57	1570															
24826.99	24826990	24827.79	24827790	0.8	800															
24828.63	24828630	24832.64	24832640	4.01	4010															
24833.68	24833680	24834.76	24834760	1.08	1080															
24835.6	24835600	24837.89	24837890	2.29	2290															
24838.89	24838890	24839.69	24839690	0.8	800															
24840.52	24840520	24842.6	24842600	2.08	2080															
24843.77	24843770	24844.64	24844640	0.87	870															
24845.44	24845440	24846.24	24846240	0.8	800															
24847.04	24847040	24848.37	24848370	1.33	1330															
24848.37	24848370	24849.4	24849400	1.03	1030															
24849.4	24849400	24851.18	24851180	1.78	1780															
24858.71	24858710	24859.65	24859650	0.94	940															
24860.63	24860630	24861.43	24861430	0.8	800															
24862.27	24862270	24863.82	24863820	1.55	1550															
24865.02	24865020	24867.74	24867740	2.72	2720															
24868.68	24868680	24870.53	24870530	1.85	1850															
24876.78	24876780	24878.05	24878050	1.27	1270															
24880.26	24880260	24881.06	24881060	0.8	800															
24883.04	24883040	24883.84	24883840	0.8	800															
24884.64	24884640	24885.93	24885930	1.29	1290															
24886.89	24886890	24888.41	24888410	1.52	1520															
24888.41	24888410	24889.63	24889630	1.22	1220															
24892.41	24892410	24893.21	24893210	0.8	800															
24894.22	24894220	24895.53	24895530	1.31	1310															
