Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
29361.32	29361320	29362.12	29362120	0.8	800															
29376.11	29376110	29378.03	29378030	1.92	1920															
29542.81	29542810	29543.41	29543410	0.6	600															
29575.03	29575030	29576.04	29576040	1.01	1010															
29605.53	29605530	29607.25	29607250	1.72	1720															
29607.85	29607850	29608.79	29608790	0.94	940															
29609.68	29609680	29611.01	29611010	1.33	1330															
29612.13	29612130	29613.67	29613670	1.54	1540															
29614.51	29614510	29615.35	29615350	0.84	840															
29616.95	29616950	29617.85	29617850	0.9	900															
29620.17	29620170	29622.35	29622350	2.18	2180															
29622.95	29622950	29624.65	29624650	1.7	1700															
29624.65	29624650	29626.28	29626280	1.63	1630															
29634.97	29634970	29635.77	29635770	0.8	800															
29649.79	29649790	29652.58	29652580	2.79	2790															
29660.64	29660640	29661.46	29661460	0.82	820															
29679.72	29679720	29683.26	29683260	3.54	3540															
29912.12	29912120	29913.49	29913490	1.37	1370															
29918.45	29918450	29919.25	29919250	0.8	800															
29919.25	29919250	29919.85	29919850	0.6	600															
29943.28	29943280	29943.88	29943880	0.6	600															
30080.53	30080530	30081.56	30081560	1.03	1030															
30081.56	30081560	30082.41	30082410	0.85	850															
30115.67	30115670	30116.47	30116470	0.8	800															
30117.32	30117320	30118.12	30118120	0.8	800															
30140.25	30140250	30141.29	30141290	1.04	1040															
30153.0	30153000	30153.8	30153800	0.8	800															
30154.87	30154870	30155.78	30155780	0.91	910															
30197.65	30197650	30198.45	30198450	0.8	800															
30199.45	30199450	30200.9	30200900	1.45	1450															
30387.0	30387000	30387.82	30387820	0.82	820															
30449.56	30449560	30450.39	30450390	0.83	830															
30505.6	30505600	30506.4	30506400	0.8	800															
30524.71	30524710	30525.51	30525510	0.8	800															
30526.31	30526310	30527.14	30527140	0.83	830															
30614.93	30614930	30615.74	30615740	0.81	810															
30624.6	30624600	30625.4	30625400	0.8	800															
30627.09	30627090	30627.89	30627890	0.8	800															
30630.45	30630450	30632.25	30632250	1.8	1800															
30674.64	30674640	30675.95	30675950	1.31	1310															
30683.29	30683290	30684.78	30684780	1.49	1490															
30686.84	30686840	30687.64	30687640	0.8	800															
30818.45	30818450	30819.92	30819920	1.47	1470															
30819.92	30819920	30820.97	30820970	1.05	1050															
30824.38	30824380	30825.68	30825680	1.3	1300															
30845.24	30845240	30848.12	30848120	2.88	2880															
30850.04	30850040	30851.04	30851040	1.0	1000															
30892.61	30892610	30893.87	30893870	1.26	1260															
30897.09	30897090	30898.17	30898170	1.08	1080															
30913.37	30913370	30914.45	30914450	1.08	1080															
30923.23	30923230	30924.03	30924030	0.8	800															
30941.84	30941840	30942.85	30942850	1.01	1010															
30982.19	30982190	30983.19	30983190	1.0	1000															
30983.19	30983190	30984.01	30984010	0.82	820															
30987.34	30987340	30988.2	30988200	0.86	860															
31013.97	31013970	31014.87	31014870	0.9	900															
31032.18	31032180	31032.81	31032810	0.63	630															
31048.34	31048340	31049.24	31049240	0.9	900															
31061.86	31061860	31062.67	31062670	0.81	810															
31083.74	31083740	31084.58	31084580	0.84	840															
31093.47	31093470	31094.29	31094290	0.82	820															
31095.85	31095850	31098.85	31098850	3.0	3000															
31101.08	31101080	31101.88	31101880	0.8	800															
31106.59	31106590	31107.39	31107390	0.8	800															
31109.51	31109510	31110.32	31110320	0.81	810															
31120.67	31120670	31121.47	31121470	0.8	800															
31123.37	31123370	31124.43	31124430	1.06	1060															
31124.43	31124430	31125.29	31125290	0.86	860															
31130.11	31130110	31132.19	31132190	2.08	2080															
31142.76	31142760	31143.88	31143880	1.12	1120															
31145.12	31145120	31145.96	31145960	0.84	840															
31149.53	31149530	31150.34	31150340	0.81	810															
31151.38	31151380	31153.33	31153330	1.95	1950															
31198.27	31198270	31199.07	31199070	0.8	800															
31200.3	31200300	31201.47	31201470	1.17	1170															
31202.61	31202610	31203.5	31203500	0.89	890															
31217.03	31217030	31217.83	31217830	0.8	800															
31222.79	31222790	31223.47	31223470	0.68	680															
31224.57	31224570	31225.48	31225480	0.91	910															
31247.79	31247790	31249.03	31249030	1.24	1240															
31260.93	31260930	31262.33	31262330	1.4	1400															
31262.33	31262330	31263.24	31263240	0.91	910															
31263.24	31263240	31264.24	31264240	1.0	1000															
31270.03	31270030	31271.48	31271480	1.45	1450															
31271.48	31271480	31272.48	31272480	1.0	1000															
31280.26	31280260	31281.09	31281090	0.83	830															
31282.03	31282030	31282.98	31282980	0.95	950															
31296.85	31296850	31297.65	31297650	0.8	800															
31304.53	31304530	31306.9	31306900	2.37	2370															
31306.9	31306900	31307.73	31307730	0.83	830															
31311.55	31311550	31312.15	31312150	0.6	600															
31312.15	31312150	31313.04	31313040	0.89	890															
31315.07	31315070	31315.97	31315970	0.9	900															
31318.71	31318710	31319.77	31319770	1.06	1060															
31322.34	31322340	31324.03	31324030	1.69	1690															
31326.23	31326230	31327.25	31327250	1.02	1020															
31327.25	31327250	31328.05	31328050	0.8	800															
31330.63	31330630	31331.23	31331230	0.6	600															
31340.7	31340700	31343.79	31343790	3.09	3090															
31343.79	31343790	31344.99	31344990	1.2	1200															
31345.59	31345590	31346.44	31346440	0.85	850															
31346.44	31346440	31347.56	31347560	1.12	1120															
31347.56	31347560	31348.36	31348360	0.8	800															
31348.36	31348360	31349.92	31349920	1.56	1560															
31350.72	31350720	31351.52	31351520	0.8	800															
31352.32	31352320	31353.27	31353270	0.95	950															
31354.34	31354340	31355.61	31355610	1.27	1270															
31355.61	31355610	31356.87	31356870	1.26	1260															
31356.87	31356870	31358.0	31358000	1.13	1130															
31358.8	31358800	31359.83	31359830	1.03	1030															
31359.83	31359830	31360.69	31360690	0.86	860															
31361.69	31361690	31362.97	31362970	1.28	1280															
31362.97	31362970	31363.9	31363900	0.93	930															
31367.43	31367430	31368.23	31368230	0.8	800															
31371.2	31371200	31371.8	31371800	0.6	600															
31411.13	31411130	31411.93	31411930	0.8	800															
31421.37	31421370	31422.18	31422180	0.81	810															
31442.63	31442630	31445.11	31445110	2.48	2480															
31466.4	31466400	31467.53	31467530	1.13	1130															
31479.59	31479590	31480.19	31480190	0.6	600															
31504.26	31504260	31505.06	31505060	0.8	800															
31519.72	31519720	31520.88	31520880	1.16	1160															
31562.91	31562910	31564.0	31564000	1.09	1090															
31652.93	31652930	31653.75	31653750	0.82	820															
31664.42	31664420	31665.22	31665220	0.8	800															
31687.84	31687840	31688.64	31688640	0.8	800															
31707.17	31707170	31707.97	31707970	0.8	800															
31734.29	31734290	31736.1	31736100	1.81	1810															
31752.92	31752920	31754.32	31754320	1.4	1400															
31921.38	31921380	31921.98	31921980	0.6	600															
31931.49	31931490	31932.29	31932290	0.8	800															
31933.56	31933560	31934.58	31934580	1.02	1020															
31959.32	31959320	31960.2	31960200	0.88	880															
31961.07	31961070	31962.07	31962070	1.0	1000															
31972.4	31972400	31973.87	31973870	1.47	1470															
31993.5	31993500	31994.79	31994790	1.29	1290															
31995.88	31995880	31996.81	31996810	0.93	930															
31998.99	31998990	31999.81	31999810	0.82	820															
32000.81	32000810	32001.63	32001630	0.82	820															
32008.72	32008720	32009.52	32009520	0.8	800															
32016.04	32016040	32017.07	32017070	1.03	1030															
