,Action,Start,End,Duration
253,&=crying ,03:25:24.240,03:25:24.870,00:00:00.630
254,&=crying ,03:25:36.770,03:25:37.520,00:00:00.750
255,&=crying ,03:25:39.660,03:25:40.380,00:00:00.720
256,&=crying ,03:25:41.060,03:25:41.890,00:00:00.830
257,&=crying ,03:26:18.280,03:26:19.000,00:00:00.720
258,&=crying ,03:26:38.390,03:26:39.430,00:00:01.040
259,&=crying ,03:26:41.970,03:26:42.160,00:00:00.190
260,&=crying ,03:27:43.980,03:27:44.330,00:00:00.350
261,&=crying ,03:28:19.640,03:28:20.090,00:00:00.450
262,&=crying ,03:28:20.550,03:28:22.540,00:00:01.990
263,&=crying ,03:28:22.540,03:28:23.160,00:00:00.620
264,&=crying ,03:28:23.260,03:28:24.460,00:00:01.200
265,&=crying ,03:28:28.310,03:28:28.640,00:00:00.330
266,&=crying ,03:28:38.390,03:28:38.650,00:00:00.260
267,&=crying ,03:28:44.090,03:28:46.640,00:00:02.550
268,&=crying ,03:28:59.890,03:29:02.180,00:00:02.290
269,&=crying ,03:29:03.630,03:29:04.520,00:00:00.890
270,&=crying ,03:29:06.510,03:29:08.030,00:00:01.520
271,&=crying ,03:29:09.660,03:29:11.620,00:00:01.960
272,&=crying ,03:30:49.910,03:30:50.080,00:00:00.170
273,&=crying ,03:31:22.530,03:31:27.390,00:00:04.860
274,&=crying ,03:31:32.650,03:31:38.670,00:00:06.020
275,&=crying ,03:31:40.280,03:31:44.460,00:00:04.180
276,&=crying ,03:31:50.700,03:31:51.510,00:00:00.810
277,&=crying ,03:31:51.510,03:31:54.240,00:00:02.730
278,&=crying ,03:31:55.040,03:31:58.210,00:00:03.170
279,&=crying ,03:31:59.420,03:32:03.870,00:00:04.450
280,&=crying ,03:32:04.200,03:32:07.120,00:00:02.920
281,&=crying ,03:32:08.090,03:32:19.050,00:00:10.960
282,&=crying ,03:32:19.050,03:32:20.180,00:00:01.130
283,&=crying ,03:32:20.180,03:32:20.920,00:00:00.740
284,&=crying ,03:32:21.920,03:32:23.860,00:00:01.940
285,&=crying ,03:32:24.660,03:32:29.740,00:00:05.080
286,&=crying ,03:32:30.680,03:32:32.300,00:00:01.620
287,&=crying ,03:32:33.370,03:32:37.050,00:00:03.680
288,&=crying ,03:32:46.600,03:32:46.790,00:00:00.190
289,&=crying ,03:32:46.960,03:32:47.960,00:00:01.000
